"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"54"," 3.949590e+01","-1.197897e+02","NV","37.2187174193548","36.0911110714286","35.606904516129","35.5280936666667","35.564375483871","36.1109083333333","37.3965035483871","37.8969948387097","37.9607233333333","36.847004516129","36.327629","37.3700170967742"
"55"," 3.949597e+01","-1.197898e+02","NV","37.2120896774194","36.096715","35.6375203225806","35.548649","35.5809490322581","36.093242","37.385905483871","37.90447","37.98544","36.862365483871","36.3286556666667","37.3614629032258"
"56"," 3.949605e+01","-1.197898e+02","NV","37.21112","36.1262746428571","35.6210235483871","35.521736","35.5628577419355","36.1146253333333","37.4140667741936","37.9085696774194","37.960343","36.8361696774194","36.3478966666667","37.3875093548387"
"57"," 3.665000e+01","-1.195400e+02","CA","42.4018577419355","41.2915817857143","40.7978429032258","40.695394","40.7552296774194","41.296927","42.5812958064516","43.089414516129","43.153018","42.0558722580645","41.5388056666667","42.5873225806452"
"58"," 4.695250e+01","-1.229164e+02","PSE","36.7361941935484","35.5946042857143","35.0898064516129","34.9899396666667","35.067424516129","35.6166563333333","36.8779296774194","37.3676903225806","37.4551806666667","36.3444048387097","35.831374","36.8479912903226"
"59"," 3.241806e+01","-1.128686e+02","APS","21.9901390322581","20.8740153571429","20.39411","20.285744","20.3327183870968","20.8650353333333","22.1768032258065","22.6722322580645","22.7254193333333","21.6135164516129","21.1087383333333","22.1450974193548"
"60"," 3.377158e+01","-1.181006e+02","CA","62.4048735483871","61.2926907142857","60.8276025806452","60.7292876666667","60.7674990322581","61.3181746666667","62.5953216129032","63.08326","63.171448","62.0337248387097","61.529825","62.5575893548387"
"61"," 3.377000e+01","-1.181000e+02","CA","62.416835483871","61.2986353571429","60.8147625806452","60.7015133333333","60.7481958064516","61.292504","62.5904722580645","63.0846651612903","63.1657873333333","62.0461458064516","61.5258746666667","62.5562103225806"
"62"," 3.857592e+01","-1.214978e+02","CA","58.8784112903226","57.7321607142857","57.2452625806452","57.1474936666667","57.1629774193548","57.723877","59.0383941935484","59.5054580645161","59.5657626666667","58.45508","57.9442383333333","58.9719035483871"
"63"," 3.377158e+01","-1.181005e+02","CA","62.4099222580645","61.2891860714286","60.8199996774194","60.6905383333333","60.7540316129032","61.2749616666667","62.5827819354839","63.0876074193548","63.142423","62.0390509677419","61.527704","62.5422264516129"
"64"," 3.377149e+01","-1.181005e+02","CA","62.3994577419355","61.3009975","60.8125025806452","60.7097143333333","60.7330783870968","61.2726023333333","62.5743193548387","63.0911506451613","63.154017","62.0192580645161","61.532334","62.5622916129032"
"65"," 3.377143e+01","-1.181006e+02","CA","62.4118387096774","61.3052139285714","60.8239893548387","60.6917496666667","60.762034516129","61.2985403333333","62.6018683870968","63.0714483870968","63.178137","62.0200125806452","61.540461","62.5575451612903"
"66"," 3.377142e+01","-1.181007e+02","CA","62.3969538709677","61.291465","60.8311525806452","60.7112446666667","60.75486","61.2840906666667","62.6053751612903","63.0828712903226","63.135723","62.0275651612903","61.5488276666667","62.5532132258065"
